"1 Country","2 Birth rate, crude (per 1,000 people)","3 GDP per capita (current US$)","4 Health expenditure per capita (current US$)","5 Improved sanitation facilities (% of population with access)","6 Improved water source (% of population with access)","7 Internet users (per 100 people)","8 Labor participation rate, female (% of female population ages 15+)","9 Life expectancy at birth, total (years)","10 Literacy rate, adult total (% of people ages 15 and above)","11 Mobile cellular subscriptions (per 100 people)","12 Mortality rate, infant (per 1,000 live births)","13 Physicians (per 1,000 people)","14 Rural population (% of total population)","15 Strength of legal rights index (0=weak to 10=strong)","16 Telephone lines (per 100 people)","17 Ex-colony"

Afghanistan,43.6,457.0,37.7,37.0,50.0,3.7,15.5,48.3,28.0,41.4,74.5,0.2,76.8,6.0,0.1,0
Albania,12.8,3700.7,240.8,94.0,95.0,45.0,49.7,76.9,99.0,84.0,13.4,1.2,47.7,9.0,10.4,0
Algeria,20.2,4566.9,178.2,95.0,83.0,12.5,14.7,72.9,79.0,92.4,26.9,1.2,28.0,3.0,8.2,1
Andorra,9.8,37200.0,3099.4,100.0,100.0,81.0,?.0,83.0,100.0,77.2,2.9,3.9,12.2,?.0,45.0,0
Angola,41.6,4237.3,123.2,58.0,51.0,10.0,62.7,50.7,70.1,46.7,98.2,?.0,41.6,3.0,1.6,1
Antigua,16.0,13006.3,689.7,?.0,?.0,80.0,?.0,76.0,99.0,189.3,6.7,?.0,70.1,8.0,40.9,1
Argentina,17.2,9124.3,741.8,?.0,?.0,40.0,47.0,75.6,97.8,132.9,13.0,3.2,7.7,4.0,24.7,1
Armenia,15.3,3030.7,133.5,90.0,98.0,7.0,49.0,73.8,99.6,125.0,16.4,3.8,35.9,6.0,19.2,0
Australia,13.0,51085.7,4774.5,100.0,100.0,75.9,58.7,81.7,99.0,101.0,4.2,3.0,11.0,9.0,47.6,1
Austria,9.4,44916.4,4958.4,100.0,100.0,75.2,53.9,80.4,98.0,145.8,3.5,4.9,32.5,7.0,40.5,0
Azerbaijan,18.5,5843.2,331.5,82.0,80.0,46.7,61.1,70.5,99.0,99.0,39.8,3.8,46.6,6.0,16.4,0
Bahamas,15.5,22664.9,1735.1,100.0,?.0,43.0,69.3,75.2,?.0,124.9,14.1,?.0,15.9,9.0,37.7,1
Bahrain,19.5,18184.2,864.1,?.0,?.0,55.0,39.2,75.0,91.9,124.2,8.7,1.4,11.4,4.0,18.1,1
Bangladesh,20.3,674.9,23.3,56.0,81.0,3.7,56.9,68.6,56.8,46.2,38.6,0.3,72.1,7.0,1.0,1
Barbados,10.9,15034.9,1003.4,100.0,100.0,70.2,64.8,76.6,100.0,128.1,17.2,1.8,56.1,?.0,50.3,1
Belarus,11.4,5817.9,319.6,93.0,100.0,32.2,50.0,70.4,?.0,107.7,4.3,5.2,25.4,3.0,43.1,0
Belgium,11.7,43006.1,4618.3,100.0,100.0,73.7,47.6,79.9,99.0,113.5,3.6,3.0,2.5,6.0,43.3,0
Belize,24.5,4057.2,238.8,90.0,98.0,12.7,48.0,75.8,77.0,62.3,15.1,0.8,55.0,7.0,9.7,1
Benin,39.6,741.1,31.1,13.0,75.0,3.1,67.1,55.6,42.4,79.9,69.5,0.1,55.7,3.0,1.5,1
Bhutan,20.4,2183.4,108.5,44.0,96.0,13.6,65.5,66.9,47.0,54.3,43.6,0.0,65.2,3.0,3.6,1
Bolivia,26.5,1978.9,96.5,27.0,88.0,22.4,63.8,66.3,87.0,72.3,40.9,?.0,33.6,1.0,8.6,1
Bosnia,8.5,4427.3,499.2,95.0,99.0,52.0,35.2,75.4,97.9,82.7,6.9,1.6,52.3,5.0,26.6,0
Botswana,23.6,7426.6,614.6,62.0,96.0,6.0,71.6,53.1,84.5,117.8,21.3,0.3,39.0,7.0,6.8,1
Brazil,15.5,10992.9,990.4,79.0,98.0,40.7,59.4,73.1,89.0,104.1,15.0,1.8,15.7,3.0,21.6,1
Brunei D,19.2,31008.0,881.6,?.0,?.0,53.0,55.7,77.9,95.2,109.1,5.8,1.4,24.4,7.0,20.0,1
Bulgaria,10.0,6334.7,434.9,100.0,100.0,46.0,48.5,73.5,98.0,136.1,11.0,3.7,27.5,8.0,29.7,0
Burkina Faso,43.2,535.9,39.8,17.0,79.0,2.4,77.5,54.9,22.0,34.7,82.4,0.1,74.3,3.0,0.9,1
Burundi,34.0,241.8,20.7,46.0,72.0,1.0,83.7,49.9,67.2,13.7,87.7,?.0,89.4,3.0,0.4,1
Cambodia,22.5,795.2,45.2,31.0,64.0,1.3,79.3,62.5,74.0,57.7,39.0,0.2,80.2,8.0,2.5,1
Cameroon,36.2,1144.2,61.3,49.0,77.0,4.3,63.9,51.1,76.0,44.1,79.9,?.0,48.5,3.0,2.8,1
Canada,11.3,46212.0,5222.1,100.0,100.0,80.0,61.8,80.8,99.0,70.7,5.0,2.0,19.4,7.0,50.0,1
Cape Verde,20.7,3344.9,154.6,61.0,88.0,30.0,50.2,73.8,84.3,75.0,19.1,0.6,38.2,3.0,14.5,1
Central Afr,35.0,451.3,18.2,34.0,67.0,2.0,72.5,47.6,56.0,22.2,108.9,?.0,61.2,3.0,0.1,1
Chad,44.7,760.7,30.6,13.0,51.0,1.7,64.5,49.2,34.5,25.6,98.0,?.0,78.3,3.0,0.5,1
Chile,14.3,12639.5,947.2,96.0,96.0,45.0,46.8,78.9,96.0,116.0,7.7,1.0,11.1,4.0,20.2,1
China,12.1,4433.0,220.9,64.0,91.0,34.4,67.9,73.3,94.3,64.0,13.7,1.4,50.8,6.0,21.9,0
Colombia,19.7,6186.0,472.2,77.0,92.0,36.5,55.3,73.4,93.4,96.1,15.8,0.1,25.0,5.0,15.5,1
Comoros,37.5,739.5,33.2,36.0,95.0,5.1,34.7,60.6,74.9,22.5,60.1,?.0,72.0,3.0,2.9,1
Congo Dem. R.,43.5,198.7,15.8,24.0,45.0,0.7,70.2,48.1,66.8,17.9,111.7,?.0,66.3,3.0,0.1,1
Congo Rep.,35.3,2970.1,72.3,18.0,71.0,5.0,68.2,57.0,84.0,98.9,64.3,0.1,36.8,3.0,0.2,1
Costa Rica,15.7,7773.9,811.4,95.0,97.0,36.5,46.0,79.2,96.2,65.1,8.7,?.0,35.8,3.0,31.8,1
Cote dIvoire,34.0,1161.3,59.7,24.0,80.0,2.1,51.5,54.7,56.2,79.0,82.1,0.1,49.4,3.0,1.4,1
Croatia,9.8,13461.4,1066.7,99.0,99.0,60.1,46.0,76.5,98.8,111.9,4.6,2.6,42.5,7.0,42.4,0
Cuba,9.9,9700.0,607.0,91.0,94.0,15.9,43.1,79.0,99.8,8.9,4.6,6.7,24.8,?.0,10.3,1
Cyprus,11.7,28779.2,1704.5,100.0,100.0,53.0,57.1,79.4,98.3,93.7,2.8,2.6,29.7,9.0,37.4,0
Czech Republic,11.1,18910.0,1480.0,98.0,100.0,68.6,49.3,77.4,99.0,121.7,3.4,3.7,26.5,6.0,22.9,0
Denmark,11.4,56485.9,6421.5,100.0,100.0,88.8,60.0,79.1,99.0,125.8,3.3,3.4,13.2,9.0,47.1,0
Djibouti,28.9,2800.0,91.7,50.0,88.0,6.5,35.5,57.5,68.0,18.6,73.0,0.2,23.0,1.0,2.1,1
Dominica,16.0,6963.9,419.3,?.0,?.0,47.5,?.0,76.0,94.0,155.8,10.9,?.0,32.9,9.0,22.9,1
Dominican Rep,21.8,5195.4,323.3,83.0,86.0,31.4,50.8,73.2,89.5,89.6,21.7,?.0,30.9,3.0,10.2,1
Ecuador,20.7,4008.2,328.2,92.0,94.0,29.0,53.7,75.5,91.9,102.2,20.3,1.7,33.1,3.0,14.4,1
Egypt Arab R.,23.2,2698.4,123.2,95.0,99.0,30.2,23.5,73.0,72.0,87.1,19.1,2.8,56.6,3.0,11.9,1
El Salvador,20.3,3460.0,236.8,87.0,88.0,15.9,47.1,71.7,84.5,124.3,14.0,1.6,35.7,5.0,16.2,1
Eq. Guinea,36.7,20703.1,896.2,?.0,?.0,6.0,80.6,50.8,93.9,57.0,80.8,?.0,60.7,3.0,1.9,1
Eritrea,36.2,403.0,11.9,?.0,?.0,5.4,79.6,61.0,67.8,3.5,47.4,?.0,79.1,2.0,1.0,1
Estonia,11.8,14062.2,853.3,95.0,98.0,74.2,56.5,75.4,99.8,123.2,3.2,3.3,30.5,7.0,36.0,0
Ethiopia,31.4,320.4,15.7,21.0,44.0,0.8,78.3,58.7,43.0,8.3,54.0,0.0,83.2,4.0,1.1,0
Fiji,21.6,3687.2,154.3,83.0,98.0,20.0,39.3,69.2,94.0,81.1,14.7,0.4,48.2,7.0,15.1,1
Finland,11.4,43864.0,3984.3,100.0,100.0,86.9,56.1,79.9,100.0,156.4,2.4,2.9,16.4,8.0,23.3,0
France,12.8,39170.3,4690.9,100.0,100.0,77.3,51.2,81.4,99.0,100.7,3.5,3.4,14.8,7.0,56.2,0
Gabon,27.1,8767.8,302.1,33.0,87.0,7.2,56.0,62.3,88.4,106.9,50.4,?.0,14.2,3.0,2.0,1
